ward_no,ward_name,pop,area_km2_x,area_km2_y,lst_mean_earliest_satellite,lst_median_earliest_satellite,lst_max_earliest_satellite,lst_anom_mean_earliest_satellite,lst_anom_max_earliest_satellite,pct_extreme_heat_earliest_satellite,ndvi_mean_earliest_satellite,ndvi_median_earliest_satellite,pct_low_veg_earliest_satellite,mndwi_mean_earliest_satellite,pct_water_earliest_satellite,ndbi_mean_earliest_satellite,valid_obs_earliest_satellite,lst_mean_1990s,lst_median_1990s,lst_max_1990s,lst_anom_mean_1990s,lst_anom_max_1990s,pct_extreme_heat_1990s,ndvi_mean_1990s,ndvi_median_1990s,pct_low_veg_1990s,mndwi_mean_1990s,pct_water_1990s,ndbi_mean_1990s,valid_obs_1990s,lst_mean_present,lst_median_present,lst_max_present,lst_anom_mean_present,lst_anom_max_present,pct_extreme_heat_present,ndvi_mean_present,ndvi_median_present,pct_low_veg_present,mndwi_mean_present,pct_water_present,ndbi_mean_present,valid_obs_present,water_area_km2_present,lst_change_early_to_present,lst_change_1995_to_present,ndvi_change_early_to_present,ndvi_change_1995_to_present,water_change_early_to_present,water_change_1995_to_present,ndbi_change_early_to_present,veg_loss_early_to_present,water_loss_early_to_present,rank_hottest_now,rank_heat_increase,rank_veg_loss,rank_water_loss,rank_builtup_increase,combined_score,rank_combined,vulnerability,valid_pct_present,flag_small_ward,flag_low_data_present,flag_no_early_data,data_quality,lst_gain_1995_raw,present_lst_anomaly_raw,ndvi_loss_1995_raw,water_decline_1995_raw,ndbi_gain_1995_raw,lst_gain_1995_z,lst_gain_1995,present_lst_anomaly_z,present_lst_anomaly,ndvi_loss_1995_z,ndvi_loss_1995,water_decline_1995_z,water_decline_1995,ndbi_gain_1995_z,ndbi_gain_1995,ecological_stress_index,ecological_stress_rank,ecological_stress_category
148.0,Ejipura,29105.0,1.61,1.608,35.22,35.37,41.3,-2.12,3.96,0.0,0.334,0.304,13.3,-0.375,0.0,-0.021,5.9,35.73,35.73,41.34,0.55,6.16,3.4,0.294,0.269,18.5,-0.349,0.0,-0.006,2.9,38.68,38.95,40.96,0.15,2.44,0.0,0.251,0.221,37.0,-0.312,0.0,0.007,28.8,0.0,3.58,3.22,-0.083,-0.043,0.0,0.0,0.028,0.083,-0.0,84,8,3,27,3,1.376,4,Severe,97.0,False,False,False,ok,3.22,0.15,0.043,-0.0,0.013000000000000001,-0.15534634806372122,0.4444444444444444,0.23538416759181793,0.5808080808080808,1.8006735880335556,0.9772727272727273,-0.0,0.5606060606060606,1.573539689149478,0.9646464646464646,0.5966386000783801,28,Ecological loss signal
151.0,Koramangala,35359.0,3.71,3.709,35.86,35.74,41.79,-1.47,4.45,0.2,0.252,0.242,23.1,-0.37,0.0,0.041,5.3,34.16,33.99,40.59,-1.01,5.42,0.4,0.312,0.304,6.8,-0.35,0.0,-0.025,4.3,37.42,37.42,41.22,-1.11,2.7,0.0,0.358,0.334,12.8,-0.341,0.0,-0.066,28.4,0.0,1.68,3.43,0.106,0.046,0.0,0.0,-0.107,-0.106,-0.0,171,102,152,27,133,-0.375,140,Moderate,95.0,False,False,False,ok,3.43,-1.11,-0.046,-0.0,-0.041,-0.032241694881149766,0.48737373737373735,-1.0266756246026103,0.1414141414141414,-0.28062445527795665,0.37373737373737376,-0.0,0.5606060606060606,-0.014705978403266162,0.5,-0.27333842120094826,136,Lower relative stress
152.0,Suddagunte Palya,35910.0,1.74,1.734,36.07,35.93,41.36,-1.27,4.03,0.2,0.232,0.207,45.5,-0.364,0.0,0.052,5.2,34.6,34.23,42.3,-0.58,7.12,4.6,0.269,0.252,23.1,-0.342,0.0,0.007,3.8,38.51,38.73,41.97,-0.02,3.44,0.0,0.286,0.237,39.1,-0.318,0.0,-0.014,26.0,0.0,2.8,4.5,0.054,0.017,0.0,0.0,-0.066,-0.054,-0.0,95,38,62,27,56,0.448,46,Severe,87.0,False,False,False,ok,4.5,-0.02,-0.017,-0.0,-0.021,0.5950058237157619,0.6843434343434344,0.06510625912114112,0.5252525252525253,0.39755131164377205,0.6691919191919192,-0.0,0.5606060606060606,0.5735331577273798,0.7575757575757576,0.3570632349268182,53,Ecological loss signal
178.0,Sarakki,26707.0,1.34,1.329,36.22,36.16,38.64,-1.12,1.3,0.0,0.207,0.198,52.5,-0.368,0.0,0.071,4.8,32.95,32.23,38.14,-2.22,2.96,0.0,0.258,0.253,15.6,-0.334,0.0,0.007,3.3,38.09,38.16,40.28,-0.44,1.75,0.0,0.299,0.271,23.6,-0.317,0.0,-0.035,25.2,0.0,2.0,5.93,0.092,0.041,0.0,0.0,-0.106,-0.092,-0.0,126,87,123,27,132,-0.055,104,Moderate,85.0,False,False,False,ok,5.93,-0.44,-0.041,-0.0,-0.042,1.4332898906256533,0.9141414141414141,-0.35558033827700153,0.3661616161616162,-0.16369759891214142,0.4217171717171717,-0.0,0.5606060606060606,-0.04411793520979848,0.48484848484848486,0.31951368946839764,58,Lower relative stress
173.0,Jakkasandra,24088.0,1.52,1.522,36.93,37.1,41.01,-0.41,3.67,0.0,0.254,0.223,38.1,-0.413,0.0,0.067,6.0,35.24,35.28,39.28,0.06,4.1,0.1,0.308,0.294,4.7,-0.406,0.0,0.021,4.1,38.0,37.99,42.04,-0.53,3.51,0.0,0.349,0.315,23.1,-0.348,0.0,-0.053,28.0,0.0,0.89,2.71,0.095,0.041,0.0,0.0,-0.12,-0.095,-0.0,138,140,127,27,152,-0.381,143,Moderate,94.0,False,False,False,ok,2.71,-0.53,-0.041,-0.0,-0.074,-0.45431479150710924,0.30303030303030304,-0.44572746629088933,0.3055555555555556,-0.16369759891214142,0.4217171717171717,-0.0,0.5606060606060606,-0.9853005530188318,0.20202020202020202,-0.40597453344556367,153,Lower relative stress
176.0,BTM Layout,34436.0,2.13,2.127,36.7,36.78,40.6,-0.64,3.26,0.0,0.218,0.193,54.4,-0.381,0.0,0.076,5.6,34.03,34.13,38.27,-1.15,3.09,0.0,0.267,0.257,13.2,-0.351,0.0,0.013,3.4,38.31,38.21,45.3,-0.22,6.77,1.9,0.274,0.246,31.6,-0.309,0.0,-0.02,25.6,0.0,1.43,4.08,0.056,0.007,0.0,0.0,-0.096,-0.056,-0.0,107,119,65,27,116,0.031,92,High,86.0,False,False,False,ok,4.08,-0.22,-0.007,-0.0,-0.033,0.34879651735061906,0.6313131313131313,-0.1352206920208316,0.4621212121212121,0.6314050243754027,0.7247474747474747,-0.0,0.5606060606060606,0.2205896760489922,0.6035353535353535,0.23696427308344878,65,Lower relative stress
168.0,Pattabhiram Nagar,30989.0,1.75,1.725,34.69,34.7,37.88,-2.64,0.54,0.0,0.248,0.235,25.7,-0.324,0.0,0.007,5.4,30.95,30.75,34.39,-4.22,-0.79,0.0,0.299,0.292,7.8,-0.304,0.0,-0.046,3.2,36.63,36.66,39.29,-1.9,0.76,0.0,0.375,0.342,9.6,-0.329,0.0,-0.092,27.7,0.0,1.96,5.91,0.127,0.076,0.0,0.0,-0.099,-0.127,-0.0,191,89,172,27,120,-0.605,168,Low,93.0,False,False,False,ok,5.91,-1.9,-0.076,-0.0,-0.046,1.421565637941599,0.9090909090909091,-1.8179670816134024,0.04040404040404041,-0.9821855934728485,0.12626262626262627,-0.0,0.5606060606060606,-0.16176576243592755,0.44191919191919193,-0.15782570800015963,119,Lower relative stress
169.0,Byrasandra,30638.0,0.87,0.868,35.5,35.49,39.7,-1.84,2.37,0.0,0.214,0.206,45.5,-0.316,0.0,0.033,6.0,31.21,30.92,38.2,-3.97,3.03,0.0,0.257,0.254,23.3,-0.308,0.0,-0.006,3.1,38.0,37.95,40.57,-0.53,2.05,0.0,0.303,0.275,18.8,-0.318,0.21,-0.035,26.0,0.002,2.46,7.03,0.089,0.046,0.21,0.21,-0.068,-0.089,-0.21,138,61,116,167,60,0.033,91,High,87.0,True,False,False,small-ward,7.03,-0.53,-0.046,-0.21,-0.029000000000000005,2.078123788248647,0.9848484848484849,-0.44572746629088933,0.3055555555555556,-0.28062445527795665,0.37373737373737376,-0.13725951850377605,0.16414141414141414,0.3382375032751213,0.6616161616161617,0.5083134498765266,36,Lower relative stress
179.0,Shakambari Nagar,23239.0,1.85,1.854,35.1,34.79,41.91,-2.23,4.58,1.0,0.272,0.256,15.8,-0.352,0.0,0.01,5.2,32.71,32.41,38.14,-2.46,2.97,0.0,0.304,0.295,3.5,-0.324,0.0,-0.035,4.1,37.02,37.03,40.87,-1.51,2.34,0.0,0.364,0.337,11.0,-0.334,0.0,-0.082,26.1,0.0,2.24,4.62,0.092,0.06,0.0,0.0,-0.092,-0.092,-0.0,184,74,123,27,103,-0.26,132,Moderate,88.0,False,False,False,ok,4.62,-1.51,-0.06,-0.0,-0.047,0.6653513398200885,0.7171717171717171,-1.4273295268865556,0.07575757575757576,-0.6080196531022395,0.25252525252525254,-0.0,0.5606060606060606,-0.19117771924245988,0.43434343434343436,-0.23614109193810146,127,Lower relative stress
149.0,Varthuru,25067.0,26.98,26.841,34.98,36.45,42.33,-2.36,4.99,0.2,0.31,0.279,22.9,-0.392,4.45,0.0,4.4,33.77,34.05,44.75,-1.4,9.58,4.7,0.373,0.342,2.5,-0.387,2.29,-0.048,4.6,38.88,39.12,46.8,0.36,8.28,3.9,0.359,0.34,11.8,-0.412,0.32,-0.014,29.3,0.086,2.67,5.07,0.049,-0.014,-4.13,-1.97,-0.014,-0.049,4.13,67,45,53,2,7,1.017,10,Severe,98.0,False,False,False,ok,5.07,0.36,0.014,1.97,0.034,0.9291470252113133,0.797979797979798,0.4457274662908892,0.6691919191919192,1.122497821111827,0.8611111111111112,1.2876250069163753,0.9848484848484849,2.1911907820866565,0.9949494949494949,1.114211533394392,3,Extreme combined stress
150.0,Bellanduru,20526.0,26.37,26.518,34.52,35.96,41.98,-2.82,4.65,0.1,0.316,0.282,18.2,-0.36,7.88,-0.02,4.9,34.19,34.9,42.35,-0.98,7.18,4.5,0.362,0.332,4.7,-0.364,6.39,-0.044,4.0,37.72,38.16,45.95,-0.8,7.42,0.9,0.341,0.321,19.2,-0.349,2.77,-0.041,28.3,0.735,2.2,3.26,0.025,-0.021,-5.11,-3.62,-0.021,-0.025,5.11,152,78,28,1,8,0.838,20,Severe,95.0,False,False,False,ok,3.26,-0.8,0.021,3.62,0.0029999999999999957,-0.1318978426956126,0.45454545454545453,-0.7161688503325525,0.2398989898989899,1.2861954200239685,0.8964646464646465,2.366092652303187,1.0,1.2794201210841547,0.9545454545454546,0.6212628771377007,26,Extreme combined stress
82.0,Garudachar Playa,20920.0,6.8,6.77,38.43,38.61,42.56,1.09,5.22,1.9,0.199,0.181,63.7,-0.412,0.16,0.109,4.7,38.63,38.74,44.77,3.45,9.59,42.0,0.251,0.243,20.2,-0.386,1.22,0.056,4.1,38.28,38.39,44.52,-0.25,5.99,0.2,0.296,0.264,27.5,-0.335,0.32,-0.013,28.1,0.022,-0.22,-0.35,0.097,0.045,0.16,-0.9,-0.122,-0.097,-0.16,110,177,129,161,156,-0.629,169,Low,94.0,False,False,False,ok,-0.35,-0.25,-0.045,0.9,-0.069,-2.2481254521674363,0.020202020202020204,-0.1652697346921275,0.4494949494949495,-0.25723908400479356,0.39141414141414144,0.5882550793018974,0.9545454545454546,-0.8382407689861705,0.2398989898989899,-0.7964372528422559,182,Ecological loss signal
83.0,Kadugodi,22205.0,11.88,11.451,36.6,37.15,43.71,-0.74,6.37,2.7,0.245,0.224,41.8,-0.393,0.02,0.059,4.9,38.56,38.69,47.96,3.39,12.79,44.5,0.278,0.267,18.7,-0.412,0.01,0.06,3.6,38.8,38.9,46.12,0.27,7.6,4.9,0.369,0.341,12.7,-0.395,0.0,-0.036,28.6,0.0,1.75,0.21,0.124,0.091,-0.02,-0.01,-0.095,-0.124,0.02,74,99,170,25,111,-0.099,108,Moderate,96.0,False,False,False,ok,0.21,0.27,-0.091,0.01,-0.096,-1.9198463770139125,0.030303030303030304,0.35558033827700153,0.6313131313131313,-1.3329661625702944,0.07323232323232323,0.006536167547798859,0.8686868686868687,-1.6323636027625423,0.06565656565656566,-1.0153051932450439,191,Ecological loss signal
84.0,Hagadur,25915.0,12.68,12.773,35.43,35.84,41.5,-1.91,4.16,0.0,0.288,0.276,24.3,-0.43,0.23,0.049,5.3,36.86,37.03,44.59,1.69,9.41,26.3,0.338,0.329,6.0,-0.418,0.63,0.006,3.8,38.22,38.41,44.43,-0.3,5.91,0.3,0.353,0.337,11.0,-0.384,1.01,-0.034,28.2,0.129,2.57,1.38,0.065,0.015,0.78,0.38,-0.083,-0.065,-0.78,113,53,72,181,83,0.172,77,High,95.0,False,False,False,ok,1.38,-0.3,-0.015,-0.38,-0.04,-1.2339775949967287,0.11616161616161616,-0.21535147247762065,0.43686868686868685,0.44432205419009824,0.6919191919191919,-0.24837436681635663,0.14646464646464646,0.014705978403266162,0.5050505050505051,-0.3594494204184866,147,Lower relative stress
85.0,Dodda Nekkundi,22016.0,12.12,12.108,37.75,38.11,42.24,0.41,4.91,0.4,0.207,0.189,56.0,-0.4,1.13,0.096,5.1,38.25,38.73,45.96,3.08,10.79,43.1,0.264,0.254,17.7,-0.376,3.51,0.041,4.1,38.15,38.3,46.48,-0.38,7.95,0.5,0.296,0.268,26.0,-0.327,1.21,-0.025,27.0,0.147,0.19,-0.43,0.089,0.032,0.08,-2.3,-0.121,-0.089,-0.08,117,165,116,157,155,-0.506,158,Low,91.0,False,False,False,ok,-0.43,-0.38,-0.032,2.3,-0.066,-2.2950224629036544,0.010101010101010102,-0.2954822529344098,0.4090909090909091,0.04677074254632616,0.5328282828282829,1.5033185359937375,0.98989898989899,-0.7500048985665736,0.25757575757575757,-0.6252519953346384,168,Ecological loss signal
174.0,HSR Layout,24749.0,6.98,7.056,36.45,37.35,43.0,-0.89,5.67,0.5,0.233,0.203,48.6,-0.403,3.23,0.086,5.2,36.1,36.57,44.67,0.93,9.5,13.7,0.298,0.267,10.3,-0.419,0.17,0.056,3.9,37.61,37.81,43.34,-0.92,4.82,0.5,0.312,0.296,18.9,-0.322,3.14,-0.033,28.0,0.222,0.46,1.24,0.079,0.014,-0.09,2.97,-0.119,-0.079,0.09,161,158,102,22,150,-0.501,157,Low,94.0,False,False,False,ok,1.24,-0.92,-0.014,-2.97,-0.089,-1.3160473637851093,0.08080808080808081,-0.8363650210177361,0.1919191919191919,0.46770742546326133,0.6994949494949495,-1.9412417616962612,0.045454545454545456,-1.4264799051168162,0.11868686868686869,-0.9737039782683893,189,Lower relative stress
175.0,Bommanahalli,24307.0,1.85,1.832,38.03,38.13,42.04,0.69,4.7,0.4,0.204,0.18,63.3,-0.42,0.0,0.115,5.2,38.18,38.57,46.41,3.01,11.24,40.7,0.227,0.208,40.5,-0.409,0.0,0.097,3.7,39.67,39.73,42.88,1.15,4.35,0.3,0.231,0.212,44.0,-0.312,0.0,0.026,25.9,0.0,1.6,1.16,0.027,0.004,0.0,0.0,-0.089,-0.027,-0.0,26,106,31,27,92,0.563,36,Severe,87.0,False,False,False,ok,1.16,1.15,-0.004,-0.0,-0.07100000000000001,-1.3629443745213272,0.07575757575757576,1.2370189233016813,0.8762626262626263,0.7015611381948919,0.7752525252525253,-0.0,0.5606060606060606,-0.8970646825992352,0.22474747474747475,-0.15572700244696874,118,Heat + vegetation loss
186.0,Jaraganahalli,23299.0,1.28,1.298,35.26,36.03,39.91,-2.08,2.57,0.0,0.302,0.28,18.3,-0.366,1.18,-0.002,5.2,31.85,32.37,35.22,-3.33,0.04,0.0,0.321,0.285,9.9,-0.34,0.0,-0.04,4.0,37.99,39.02,41.22,-0.54,2.69,0.0,0.179,0.196,53.7,-0.2,13.43,-0.014,24.0,0.174,2.99,6.65,-0.123,-0.142,12.25,13.43,-0.012,0.123,-12.25,140,26,1,198,5,-0.184,120,Moderate,81.0,False,False,False,ok,6.65,-0.54,0.142,-13.43,0.026000000000000002,1.855362987251613,0.9722222222222222,-0.455743813847988,0.29797979797979796,3.0,1.0,-3.0,0.005050505050505051,1.9558951276343977,0.9848484848484849,0.908844402551046,10,Extreme combined stress
187.0,Puttenahalli,20544.0,2.87,2.86,36.82,36.64,42.53,-0.52,5.2,2.0,0.294,0.28,19.6,-0.418,0.06,0.047,5.5,34.19,33.71,41.22,-0.98,6.04,2.6,0.311,0.303,5.8,-0.401,0.0,0.026,3.7,37.8,38.3,42.04,-0.73,3.51,0.0,0.3,0.251,33.2,-0.319,0.6,-0.03,26.9,0.017,1.66,4.59,0.006,-0.011,0.54,0.6,-0.077,-0.006,-0.54,148,103,14,175,73,0.149,80,High,90.0,False,False,False,ok,4.59,-0.73,0.011,-0.6,-0.055999999999999994,0.6477649607940068,0.7070707070707071,-0.646054417432862,0.25757575757575757,1.0523417072923378,0.8409090909090909,-0.39217005286793155,0.09595959595959595,-0.45588533050125035,0.3686868686868687,0.14837863870471996,80,Ecological loss signal
188.0,Bilekhalli,22510.0,4.24,4.267,34.38,36.15,41.23,-2.96,3.9,0.0,0.322,0.281,25.3,-0.318,8.47,-0.06,5.1,33.95,34.96,42.64,-1.23,7.47,5.2,0.349,0.296,13.1,-0.353,6.02,-0.049,3.5,36.55,37.74,42.55,-1.98,4.03,0.0,0.329,0.275,25.0,-0.251,13.33,-0.097,24.6,0.569,1.59,2.78,0.007,-0.02,4.86,7.31,-0.037,-0.007,-4.86,192,107,16,197,20,-0.692,174,Low,83.0,False,False,False,ok,2.78,-1.98,0.02,-7.31,-0.048,-0.41327990711291884,0.32323232323232326,-1.8980978620701914,0.03282828282828283,1.2628100487508054,0.8863636363636364,-3.0,0.015151515151515152,-0.2205896760489922,0.4217171717171717,-0.7341299862051017,179,Ecological loss signal
189.0,Hongasandra,23058.0,2.16,2.156,38.88,38.68,42.05,1.54,4.71,3.6,0.202,0.19,56.0,-0.431,0.0,0.138,4.8,39.13,39.23,45.73,3.95,10.56,50.9,0.235,0.226,31.8,-0.417,0.0,0.107,3.8,40.49,40.59,43.26,1.96,4.74,1.4,0.188,0.166,68.3,-0.289,0.0,0.044,26.6,0.0,1.91,1.36,-0.014,-0.047,0.0,0.0,-0.094,0.014,-0.0,2,91,9,27,109,1.05,8,Severe,89.0,False,False,False,ok,1.36,1.96,0.047,-0.0,-0.063,-1.2457018476807828,0.1111111111111111,2.0483430754266707,0.9949494949494949,1.894215073126208,0.98989898989899,-0.0,0.5606060606060606,-0.6617690281469766,0.2878787878787879,0.31553572118429446,59,Heat + vegetation loss
190.0,Mangammanapalya,27391.0,3.52,3.545,38.2,38.16,43.81,0.86,6.48,1.9,0.187,0.175,67.2,-0.404,0.64,0.124,4.7,36.87,36.83,45.04,1.69,9.86,11.8,0.249,0.248,19.0,-0.397,0.18,0.082,4.1,40.57,40.61,48.24,2.04,9.71,8.4,0.228,0.205,47.2,-0.317,0.84,0.034,27.2,0.03,2.45,3.78,0.041,-0.021,0.2,0.66,-0.09,-0.041,-0.2,1,62,45,165,95,0.914,16,Severe,91.0,False,False,False,ok,3.78,2.04,0.021,-0.66,-0.048,0.17293272708980248,0.5732323232323232,2.12847385588346,1.0,1.2861954200239685,0.8964646464646465,-0.4313870581547247,0.09090909090909091,-0.2205896760489922,0.4217171717171717,0.6370171631778689,24,Heat + vegetation loss
191.0,Singasandra,21410.0,9.42,9.453,38.51,38.65,43.05,1.17,5.72,1.3,0.192,0.181,67.4,-0.449,0.58,0.149,4.8,36.58,36.77,44.04,1.4,8.87,7.6,0.25,0.245,12.4,-0.432,1.09,0.105,3.9,39.23,39.38,43.96,0.71,5.43,0.9,0.289,0.269,19.9,-0.35,1.64,0.003,28.4,0.155,0.73,2.61,0.097,0.039,1.06,0.55,-0.146,-0.097,-1.06,44,149,129,185,182,-0.246,129,Moderate,95.0,False,False,False,ok,2.61,0.71,-0.039,-0.55,-0.102,-0.5129360549273814,0.2777777777777778,0.7962996307893414,0.7828282828282829,-0.11692685636581525,0.4621212121212121,-0.3594892151289373,0.10101010101010101,-1.808835343601736,0.05555555555555555,-0.3432549454031101,145,Lower relative stress
193.0,Arakere,25003.0,6.45,6.437,36.78,37.57,42.27,-0.56,4.93,0.3,0.227,0.203,48.9,-0.386,3.29,0.072,5.1,37.01,37.15,43.85,1.84,8.68,18.5,0.256,0.245,18.4,-0.398,3.39,0.072,3.6,38.87,39.07,45.09,0.35,6.56,1.0,0.305,0.284,18.3,-0.342,0.8,-0.018,26.7,0.051,1.5,1.92,0.078,0.049,-2.49,-2.59,-0.09,-0.078,2.49,70,115,99,4,95,0.374,56,High,90.0,False,False,False,ok,1.92,0.35,-0.049,2.59,-0.09,-0.9174227725272591,0.17676767676767677,0.4357111187337906,0.6565656565656566,-0.3507805690974459,0.3207070707070707,1.6928673948799045,0.9949494949494949,-1.4558918619233485,0.10858585858585859,-0.22269439188742546,125,Ecological loss signal
184.0,Uttarahalli,21845.0,8.99,9.133,38.5,38.81,43.61,1.16,6.27,4.5,0.25,0.225,31.0,-0.465,0.5,0.122,5.6,35.46,35.48,42.28,0.29,7.1,3.7,0.287,0.268,7.9,-0.44,0.8,0.081,4.4,38.81,38.8,47.42,0.28,8.89,2.3,0.35,0.334,9.4,-0.38,0.95,-0.022,26.4,0.087,-0.01,3.32,0.1,0.063,0.45,0.15,-0.144,-0.1,-0.45,73,170,139,172,179,-0.49,155,Low,89.0,False,False,False,ok,3.32,0.28,-0.063,-0.15,-0.10300000000000001,-0.0967250846434493,0.4595959595959596,0.3655966858341002,0.6363636363636364,-0.6781757669217288,0.23484848484848486,-0.09804251321698289,0.1919191919191919,-1.8382473004082684,0.04040404040404041,-0.3819768136543482,149,Lower relative stress
185.0,Yelchenahalli,28000.0,1.58,1.605,37.29,37.08,42.73,-0.05,5.39,1.1,0.239,0.217,39.3,-0.408,0.39,0.083,5.0,34.59,34.52,41.54,-0.58,6.37,1.0,0.264,0.254,14.7,-0.372,0.45,0.04,4.9,39.23,39.37,43.71,0.7,5.18,1.2,0.254,0.227,37.4,-0.313,0.5,0.008,26.8,0.008,2.29,4.85,0.015,-0.01,0.11,0.05,-0.075,-0.015,-0.11,44,69,18,160,69,0.677,31,Severe,90.0,False,False,False,ok,4.85,0.7,0.01,-0.05,-0.032,0.8001802456867142,0.7550505050505051,0.7862832832322428,0.7777777777777778,1.028956336019175,0.8308080808080808,-0.032680837738994294,0.23484848484848486,0.2500016328555245,0.6212121212121212,0.6357001168237775,25,Heat + vegetation loss
192.0,Begur,19287.0,18.8,18.948,38.18,38.37,44.03,0.84,6.69,5.0,0.221,0.2,49.8,-0.436,0.86,0.116,5.0,36.29,36.45,45.07,1.11,9.9,12.0,0.271,0.26,12.7,-0.422,2.07,0.078,4.3,39.47,39.67,45.44,0.94,6.91,5.0,0.318,0.303,15.2,-0.372,1.59,-0.0,27.8,0.301,1.3,3.22,0.097,0.047,0.73,-0.48,-0.116,-0.097,-0.73,33,126,129,180,146,-0.002,98,High,93.0,False,False,False,ok,3.22,0.94,-0.047,0.48,-0.078,-0.15534634806372122,0.4444444444444444,1.02667562460261,0.8383838383838383,-0.30400982655111974,0.35858585858585856,0.3137360422943452,0.9343434343434344,-1.1029483802449611,0.1717171717171717,-0.020452595501410653,100,Heat + water decline
194.0,Gottigere,21526.0,6.49,6.367,38.53,38.7,43.67,1.2,6.33,6.2,0.222,0.197,51.9,-0.453,0.58,0.129,5.7,36.57,36.85,42.74,1.39,7.57,16.6,0.287,0.268,7.2,-0.437,1.13,0.075,4.7,39.25,39.27,46.08,0.72,7.55,6.9,0.321,0.3,14.2,-0.367,1.27,-0.009,26.8,0.081,0.57,2.42,0.099,0.034,0.69,0.14,-0.138,-0.099,-0.69,42,152,138,178,173,-0.252,130,Moderate,90.0,False,False,False,ok,2.42,0.72,-0.034,-0.14,-0.08399999999999999,-0.6243164554258984,0.2474747474747475,0.8063159783464401,0.7904040404040404,0.0,0.5075757575757576,-0.09150634566918403,0.19696969696969696,-1.2794201210841545,0.15656565656565657,-0.23167071097148223,126,Lower relative stress
195.0,Konankunte,20181.0,3.42,3.386,37.9,37.88,41.89,0.56,4.56,1.9,0.262,0.245,25.2,-0.441,0.0,0.091,5.9,35.94,35.39,43.52,0.77,8.34,9.5,0.27,0.258,12.4,-0.412,0.03,0.068,4.7,38.32,38.33,41.87,-0.2,3.34,0.0,0.29,0.27,20.2,-0.323,0.21,-0.023,25.2,0.007,0.45,2.94,0.028,0.02,0.21,0.18,-0.114,-0.028,-0.21,105,159,33,167,145,-0.104,109,Moderate,85.0,False,False,False,ok,2.94,-0.2,-0.02,-0.18,-0.091,-0.31948588564048336,0.3712121212121212,-0.11518799690663432,0.4772727272727273,0.3273951978242829,0.6237373737373737,-0.11765101586037946,0.18434343434343434,-1.4853038187298808,0.09090909090909091,-0.2938475506971543,140,Lower relative stress
196.0,Anjanapura,21080.0,11.92,12.078,39.17,39.33,46.25,1.83,8.92,8.6,0.222,0.201,49.6,-0.461,0.34,0.143,5.9,36.61,36.75,43.41,1.44,8.24,11.5,0.285,0.269,9.7,-0.45,0.27,0.088,4.3,40.43,40.43,47.43,1.9,8.91,13.2,0.354,0.351,7.3,-0.419,0.57,0.011,26.5,0.069,1.1,3.68,0.132,0.069,0.23,0.3,-0.132,-0.132,-0.23,6,132,177,169,168,0.071,87,High,89.0,False,False,False,ok,3.68,1.9,-0.069,-0.3,-0.077,0.11431146366953056,0.5454545454545454,1.988244990084079,0.9722222222222222,-0.8184879945607072,0.17929292929292928,-0.19608502643396578,0.15151515151515152,-1.0735364234384288,0.18686868686868688,0.07780162072467442,84,Lower relative stress
1.0,Kempegowda Ward,21866.0,10.47,10.239,37.21,38.01,42.54,-0.12,5.2,2.5,0.243,0.223,39.0,-0.387,6.36,0.052,5.0,34.81,34.7,44.35,-0.37,9.17,6.4,0.295,0.278,8.2,-0.423,0.36,0.049,4.5,38.29,38.8,47.02,-0.23,8.49,8.8,0.32,0.31,20.8,-0.337,8.67,-0.039,27.4,0.888,0.79,4.1,0.077,0.025,2.31,8.31,-0.091,-0.077,-2.31,109,145,95,191,100,-0.513,159,Low,92.0,False,False,False,ok,4.1,-0.23,-0.025,-8.31,-0.088,0.3605207700346732,0.6363636363636364,-0.14523703957793024,0.45454545454545453,0.21046834145846757,0.5808080808080808,-3.0,0.010101010101010102,-1.397067948310284,0.12878787878787878,-0.5383577008600331,161,Lower relative stress
52.0,K R Puram,26485.0,5.12,5.162,37.07,37.55,42.44,-0.27,5.11,2.0,0.242,0.203,48.6,-0.39,1.76,0.062,5.3,38.62,38.93,45.11,3.44,9.94,46.6,0.307,0.281,8.9,-0.388,2.02,0.013,4.8,38.03,38.6,42.91,-0.5,4.39,0.1,0.346,0.287,20.6,-0.349,0.49,-0.051,28.6,0.025,1.05,-0.33,0.104,0.039,-1.27,-1.53,-0.113,-0.104,1.27,135,136,149,7,142,-0.228,127,Moderate,96.0,False,False,False,ok,-0.33,-0.5,-0.039,1.53,-0.064,-2.236401199483382,0.025252525252525252,-0.4156784236195934,0.3207070707070707,-0.11692685636581525,0.4621212121212121,1.0000336348132255,0.9747474747474747,-0.691180984953509,0.2676767676767677,-0.7311135183631389,178,Ecological loss signal
