ward_no,ward_name,pop,area_km2_x,area_km2_y,lst_mean_earliest_satellite,lst_median_earliest_satellite,lst_max_earliest_satellite,lst_anom_mean_earliest_satellite,lst_anom_max_earliest_satellite,pct_extreme_heat_earliest_satellite,ndvi_mean_earliest_satellite,ndvi_median_earliest_satellite,pct_low_veg_earliest_satellite,mndwi_mean_earliest_satellite,pct_water_earliest_satellite,ndbi_mean_earliest_satellite,valid_obs_earliest_satellite,lst_mean_1990s,lst_median_1990s,lst_max_1990s,lst_anom_mean_1990s,lst_anom_max_1990s,pct_extreme_heat_1990s,ndvi_mean_1990s,ndvi_median_1990s,pct_low_veg_1990s,mndwi_mean_1990s,pct_water_1990s,ndbi_mean_1990s,valid_obs_1990s,lst_mean_present,lst_median_present,lst_max_present,lst_anom_mean_present,lst_anom_max_present,pct_extreme_heat_present,ndvi_mean_present,ndvi_median_present,pct_low_veg_present,mndwi_mean_present,pct_water_present,ndbi_mean_present,valid_obs_present,water_area_km2_present,lst_change_early_to_present,lst_change_1995_to_present,ndvi_change_early_to_present,ndvi_change_1995_to_present,water_change_early_to_present,water_change_1995_to_present,ndbi_change_early_to_present,veg_loss_early_to_present,water_loss_early_to_present,rank_hottest_now,rank_heat_increase,rank_veg_loss,rank_water_loss,rank_builtup_increase,combined_score,rank_combined,vulnerability,valid_pct_present,flag_small_ward,flag_low_data_present,flag_no_early_data,data_quality,lst_gain_1995_raw,present_lst_anomaly_raw,ndvi_loss_1995_raw,water_decline_1995_raw,ndbi_gain_1995_raw,lst_gain_1995_z,lst_gain_1995,present_lst_anomaly_z,present_lst_anomaly,ndvi_loss_1995_z,ndvi_loss_1995,water_decline_1995_z,water_decline_1995,ndbi_gain_1995_z,ndbi_gain_1995,ecological_stress_index,ecological_stress_rank,ecological_stress_category
164.0,Vidyapeeta ward,34535.0,34535.0,1.239,36.43,36.17,41.25,-0.91,3.92,0.0,0.217,0.207,41.4,-0.372,0.0,0.073,5.7,33.83,33.99,41.73,-1.35,6.55,0.4,0.243,0.235,20.6,-0.343,0.0,0.029,3.3,38.41,38.41,40.49,-0.12,1.97,0.0,0.267,0.24,28.3,-0.303,0.0,-0.02,26.2,0.0,2.24,4.42,0.05,0.024,0.0,0.0,-0.093,-0.05,-0.0,101,74,56,27,107,0.297,66,High,88.0,False,False,False,ok,4.42,-0.12,-0.024,-0.0,-0.049,0.5481088129795442,0.6717171717171717,-0.035057216449845226,0.494949494949495,0.23385371273163066,0.5934343434343434,-0.0,0.5606060606060606,-0.2500016328555245,0.4090909090909091,0.16669169822189164,76,Lower relative stress
161.0,Hosakerehalli,21185.0,1.34,1.347,36.49,36.77,39.77,-0.85,2.43,0.0,0.257,0.224,26.0,-0.443,0.0,0.099,5.2,37.04,37.18,44.11,1.87,8.93,34.3,0.28,0.258,7.2,-0.405,0.0,0.05,4.0,38.13,38.28,40.37,-0.39,1.84,0.0,0.242,0.219,37.8,-0.298,0.0,0.004,26.2,0.0,1.51,1.1,-0.015,-0.038,0.0,0.0,-0.095,0.015,-0.0,120,113,8,27,111,0.363,57,High,88.0,False,False,False,ok,1.1,-0.39,0.038,-0.0,-0.046,-1.3981171325734905,0.0707070707070707,-0.30549860049150845,0.4015151515151515,1.6837467316677406,0.9545454545454546,-0.0,0.5606060606060606,-0.16176576243592755,0.44191919191919193,-0.16805037790218982,122,Ecological loss signal
165.0,Ganesh Mandir ward,23101.0,1.63,1.621,36.08,35.77,41.6,-1.26,4.27,0.6,0.222,0.212,36.7,-0.374,0.0,0.069,5.4,34.13,33.76,41.39,-1.04,6.22,1.9,0.27,0.266,7.3,-0.341,0.0,0.003,4.3,37.69,37.68,40.66,-0.84,2.14,0.0,0.32,0.296,12.2,-0.314,0.06,-0.059,25.2,0.001,1.91,3.92,0.098,0.05,0.06,0.06,-0.128,-0.098,-0.06,155,91,133,155,163,-0.215,124,Moderate,85.0,False,False,False,ok,3.92,-0.84,-0.05,-0.06,-0.062,0.2550024958781835,0.6035353535353535,-0.756234240560947,0.21717171717171718,-0.37416594037060896,0.31313131313131315,-0.03921700528679315,0.22727272727272727,-0.6323570713404443,0.31565656565656564,-0.25031539891694177,129,Lower relative stress
166.0,Karisandra,30206.0,1.1,1.107,35.61,35.51,40.53,-1.73,3.19,0.0,0.219,0.211,42.1,-0.326,0.0,0.036,5.6,34.42,34.15,38.26,-0.76,3.09,0.0,0.261,0.254,14.2,-0.305,0.0,-0.013,4.4,37.88,37.84,40.54,-0.65,2.01,0.0,0.309,0.284,12.1,-0.316,0.0,-0.043,26.8,0.0,2.33,3.69,0.09,0.048,0.0,0.0,-0.079,-0.09,-0.0,146,66,121,27,78,-0.011,100,Moderate,90.0,False,False,False,ok,3.69,-0.65,-0.048,-0.0,-0.03,0.12017359001155765,0.553030303030303,-0.565923636976073,0.2676767676767677,-0.32739519782428284,0.3383838383838384,-0.0,0.5606060606060606,0.3088255464685892,0.648989898989899,-0.09628785798631549,108,Lower relative stress
167.0,Yediyur,34591.0,1.23,1.227,35.19,35.31,39.08,-2.15,1.75,0.0,0.231,0.211,43.4,-0.295,2.87,0.006,5.7,33.61,33.77,37.66,-1.57,2.49,0.0,0.271,0.255,18.7,-0.287,2.72,-0.032,4.5,37.47,37.63,41.08,-1.06,2.55,0.0,0.3,0.258,27.2,-0.294,2.5,-0.05,26.7,0.031,2.32,3.86,0.069,0.029,-0.37,-0.22,-0.056,-0.069,0.37,167,67,78,15,43,0.031,92,High,90.0,False,False,False,ok,3.86,-1.06,-0.029,0.22,-0.018000000000000002,0.21982973782602022,0.5959595959595959,-0.976593886817117,0.16161616161616163,0.11692685636581533,0.5454545454545454,0.1437956860515749,0.9242424242424242,0.6617690281469766,0.8005050505050505,0.01485022238732843,92,Ecological loss signal
180.0,Banashankari Temple ward,34022.0,0.68,0.684,37.07,37.04,40.7,-0.27,3.37,0.0,0.203,0.179,63.5,-0.375,0.0,0.085,5.1,35.73,35.9,40.65,0.55,5.48,0.3,0.233,0.206,45.8,-0.346,0.0,0.04,4.7,39.38,39.59,41.79,0.85,3.26,0.0,0.272,0.227,36.6,-0.322,0.0,0.003,25.8,0.0,2.55,3.69,0.069,0.039,0.0,0.0,-0.082,-0.069,-0.0,36,55,78,27,81,0.526,40,Severe,87.0,True,False,False,small-ward,3.69,0.85,-0.039,-0.0,-0.037,0.12017359001155765,0.553030303030303,0.9365284965887224,0.8232323232323232,-0.11692685636581525,0.4621212121212121,-0.0,0.5606060606060606,0.10294184882286313,0.5505050505050505,0.21541368237147823,71,Lower relative stress
181.0,Kumaraswamy Layout,35384.0,1.87,1.86,38.15,38.3,41.36,0.82,4.02,0.2,0.206,0.189,60.0,-0.428,0.0,0.119,5.4,35.53,35.21,41.41,0.35,6.24,5.0,0.254,0.241,21.8,-0.376,0.0,0.047,5.0,38.06,38.04,42.0,-0.47,3.47,0.0,0.308,0.277,22.7,-0.32,0.0,-0.039,25.6,0.0,-0.26,2.83,0.102,0.054,0.0,0.0,-0.158,-0.102,-0.0,130,179,143,27,189,-0.701,175,Low,86.0,False,False,False,ok,2.83,-0.47,-0.054,-0.0,-0.086,-0.3839692754027826,0.3434343434343434,-0.38562938094829746,0.3434343434343434,-0.46770742546326116,0.28535353535353536,-0.0,0.5606060606060606,-1.3382440346972193,0.1414141414141414,-0.4865947491077294,158,Lower relative stress
182.0,Padmanabha Nagar,25454.0,1.68,1.689,37.22,37.21,43.53,-0.12,6.19,3.2,0.228,0.199,51.4,-0.401,1.92,0.083,5.6,36.26,36.33,42.31,1.08,7.13,9.4,0.275,0.248,13.5,-0.379,0.0,0.03,4.4,38.76,38.75,41.95,0.23,3.42,0.0,0.264,0.242,30.3,-0.311,0.11,-0.012,25.3,0.002,1.54,2.42,0.036,-0.011,-1.81,0.11,-0.095,-0.036,1.81,75,111,39,5,111,0.484,45,Severe,85.0,False,False,False,ok,2.42,0.23,0.011,-0.11,-0.041999999999999996,-0.6243164554258984,0.2474747474747475,0.315514948048607,0.6212121212121212,1.0523417072923378,0.8409090909090909,-0.07189784302578744,0.20202020202020202,-0.04411793520979828,0.49242424242424243,0.0688740277050816,85,Ecological loss signal
146.0,Lakkasandra,28303.0,1.29,1.294,36.55,36.11,42.57,-0.79,5.24,2.2,0.215,0.199,50.6,-0.334,0.07,0.047,5.7,33.83,33.52,41.21,-1.34,6.03,2.2,0.262,0.251,30.4,-0.312,0.0,-0.01,4.1,38.88,38.73,46.15,0.35,7.62,4.3,0.286,0.231,39.6,-0.298,0.07,-0.035,27.3,0.001,2.62,5.21,0.071,0.024,0.0,0.07,-0.082,-0.071,-0.0,67,47,86,27,81,0.409,53,High,92.0,False,False,False,ok,5.21,0.35,-0.024,-0.07,-0.025,1.011216793999694,0.8181818181818182,0.4357111187337906,0.6565656565656566,0.23385371273163066,0.5934343434343434,-0.045753172834592015,0.2222222222222222,0.4558853305012506,0.7171717171717171,0.49879782814299123,39,Lower relative stress
147.0,Adugodi,29945.0,1.6,1.59,35.0,35.68,41.21,-2.33,3.87,0.0,0.312,0.248,31.9,-0.376,0.0,-0.006,5.8,34.71,34.74,42.21,-0.47,7.04,3.6,0.338,0.3,18.0,-0.362,0.0,-0.039,4.8,37.4,37.58,40.62,-1.13,2.09,0.0,0.425,0.434,11.6,-0.372,0.0,-0.096,29.1,0.0,1.9,2.84,0.113,0.087,0.0,0.0,-0.09,-0.113,-0.0,173,94,161,27,95,-0.358,139,Moderate,98.0,False,False,False,ok,2.84,-1.13,-0.087,-0.0,-0.057,-0.37810714906075554,0.3484848484848485,-1.0467083197168074,0.13131313131313133,-1.239424677477642,0.09090909090909091,-0.0,0.5606060606060606,-0.4852972873077829,0.3611111111111111,-0.643453337253284,170,Lower relative stress
